HMDB	Formula	Mass	InchiKey	Inchi	SMILES	HMDB Name
HMDB01473	C3H7O6P	169.9980245	GNGACRATGGDKBX-UHFFFAOYSA-N	1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h4H,1-2H2,(H2,6,7,8)	OCC(=O)COP(O)(O)=O	Dihydroxyacetone phosphate
HMDB00044	C6H8O6	176.032088	CIWBSHSKHKDKBQ-JLAZNSOCSA-N	1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2/t2-,5+/m0/s1	[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO	Ascorbic acid
HMDB03418	C6H12O6	180.0633881	BJHIKXHVCXFQLS-PQLUHFTBSA-N	1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3,5-9,11-12H,1-2H2/t3-,5+,6-/m1/s1	OC[C@@H](O)[C@H](O)[C@H](O)C(=O)CO	D-Tagatose
HMDB00446	C8H16N2O3	188.1160924	VEYYWZRYIYDQJM-UHFFFAOYSA-N	1S/C8H16N2O3/c1-6(11)10-7(8(12)13)4-2-3-5-9/h7H,2-5,9H2,1H3,(H,10,11)(H,12,13)	CC(=O)NC(CCCCN)C(O)=O	N-Alpha-acetyllysine
HMDB00638	C12H24O2	200.17763	POULHZVOKOAJMA-UHFFFAOYSA-N	1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)	CCCCCCCCCCCC(O)=O	Dodecanoic acid
YMDB00917	C8H13NO6	219.0742872	GNISQJGXJIDKDJ-YFKPBYRVSA-N	1S/C8H13NO6/c9-5(8(13)14)3-4-15-7(12)2-1-6(10)11/h5H,1-4,9H2,(H,10,11)(H,13,14)/t5-/m0/s1	0	0
HMDB00296	C9H12N2O6	244.0695361	DRTQHJPVMGBUCF-XVFCMESISA-N	1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O	Uridine
HMDB00085	C10H13N5O4	267.0967539	YKBGVTZYEHREMT-KVQBGUIXSA-N	1S/C10H13N5O4/c11-10-13-8-7(9(18)14-10)12-3-15(8)6-1-4(17)5(2-16)19-6/h3-6,16-17H,1-2H2,(H3,11,13,14,18)/t4-,5+,6+/m0/s1	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1	Deoxyguanosine
HMDB11691	C9H12N3O7P	305.0412863	NMPZCCZXCOMSDQ-ZRTZXPPTSA-N	1S/C9H12N3O7P/c10-5-1-2-12(9(14)11-5)8-7-6(4(3-13)17-8)18-20(15,16)19-7/h1-2,4,6-8,13H,3H2,(H,15,16)(H2,10,11,14)/t4-,6-,7-,8?/m1/s1	NC1=NC(=O)N(C=C1)C1O[C@H](CO)[C@H]2OP(O)(=O)O[C@@H]12	Cytidine 2',3'-cyclic phosphate
HMDB01058	C6H14O12P2	339.9960489	RNBGYGVWRKECFJ-ZXXMMSQZSA-N	1S/C6H14O12P2/c7-4-3(1-16-19(10,11)12)18-6(9,5(4)8)2-17-20(13,14)15/h3-5,7-9H,1-2H2,(H2,10,11,12)(H2,13,14,15)/t3-,4-,5+,6+/m1/s1	O[C@H]1[C@H](O)[C@](O)(COP(O)(O)=O)O[C@@H]1COP(O)(O)=O	Fructose 1,6-bisphosphate
HMDB00761	C24H40O3	376.2977451	SMEROWZSTRWXGI-YPLGJCPNSA-N	1S/C24H40O3/c1-15(4-9-22(26)27)19-7-8-20-18-6-5-16-14-17(25)10-12-23(16,2)21(18)11-13-24(19,20)3/h15-21,25H,4-14H2,1-3H3,(H,26,27)/t15-,16?,17-,18+,19-,20+,21+,23+,24-/m1/s1	[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2C[C@H](O)CC[C@]12C	Lithocholic acid
HMDB00960	C10H15N5O10P2	427.0294147	CIKGWCTVFSRMJU-KVQBGUIXSA-N	1S/C10H15N5O10P2/c11-10-13-8-7(9(17)14-10)12-3-15(8)6-1-4(16)5(24-6)2-23-27(21,22)25-26(18,19)20/h3-6,16H,1-2H2,(H,21,22)(H2,18,19,20)(H3,11,13,14,17)/t4-,5+,6+/m0/s1	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)N1	dGDP
HMDB03213	C18H32O16	504.169035	MUPFEKGTMRGPLJ-BQCSWRFHSA-N	1S/C18H32O16/c19-1-5-8(22)11(25)13(27)16(31-5)30-3-7-9(23)12(26)14(28)17(32-7)34-18(4-21)15(29)10(24)6(2-20)33-18/h5-17,19-29H,1-4H2/t5-,6-,7-,8+,9-,10-,11+,12+,13-,14-,15+,16?,17?,18+/m1/s1	OC[C@H]1O[C@@](CO)(OC2O[C@H](COC3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O	Raffinose
HMDB00290	C17H27N3O17P2	607.0815695	LFTYTUAZOPRMMI-CFRASDGPSA-N	1S/C17H27N3O17P2/c1-6(22)18-10-13(26)11(24)7(4-21)35-16(10)36-39(31,32)37-38(29,30)33-5-8-12(25)14(27)15(34-8)20-3-2-9(23)19-17(20)28/h2-3,7-8,10-16,21,24-27H,4-5H2,1H3,(H,18,22)(H,29,30)(H,31,32)(H,19,23,28)/t7-,8-,10-,11-,12-,13-,14-,15-,16-/m1/s1	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O	Uridine diphosphate-N-acetylglucosamine
HMDB03407	C4H6O2	86.03677944	QSJXEFYPDANLFS-UHFFFAOYSA-N	1S/C4H6O2/c1-3(5)4(2)6/h1-2H3	CC(=O)C(C)=O	Diacetyl
HMDB36458	C4H7NO2	101.0476785	PAJPWUMXBYXFCZ-UHFFFAOYSA-N	1S/C4H7NO2/c5-4(1-2-4)3(6)7/h1-2,5H2,(H,6,7)	NC1(CC1)C(O)=O	1-Aminocyclopropanecarboxylic acid
HMDB35289	C6H8N2	108.0687483	LCZUOKDVTBMCMX-UHFFFAOYSA-N	1S/C6H8N2/c1-5-3-8-6(2)4-7-5/h3-4H,1-2H3	CC1=CN=C(C)C=N1	2,5-Dimethylpyrazine
HMDB00043	C5H11NO2	117.0789786	KWIUHFFTVRNATP-UHFFFAOYSA-N	1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3	C[N+](C)(C)CC([O-])=O	Betaine
HMDB01488	C6H5NO2	123.0320284	PVNIIMVLHYAWGP-UHFFFAOYSA-N	1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)	OC(=O)C1=CN=CC=C1	Nicotinic acid
HMDB06024	C6H10O3	130.0629942	JYVXNLLUYHCIIH-LURJTMIESA-N	1S/C6H10O3/c1-6(8)2-3-9-5(7)4-6/h8H,2-4H2,1H3/t6-/m0/s1	C[C@]1(O)CCOC(=O)C1	Mevalonolactone
HMDB00214	C5H12N2O2	132.0898776	AHLPHDHHMVZTML-BYPYZUCNSA-N	1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/t4-/m0/s1	NCCC[C@H](N)C(O)=O	Ornithine
HMDB00224	C2H8NO4P	141.0190943	SUHOOTKUPISOBE-UHFFFAOYSA-N	1S/C2H8NO4P/c3-1-2-7-8(4,5)6/h1-3H2,(H2,4,5,6)	NCCOP(O)(O)=O	O-Phosphoethanolamine
HMDB00930	C9H8O2	148.0524295	WBYWAXJHAXSJNI-VOTSOKGWSA-N	1S/C9H8O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H,10,11)/b7-6+	OC(=O)\C=C\C1=CC=CC=C1	trans-Cinnamic acid
HMDB00152	C7H6O4	154.0266087	WXTMDXOMEHJXQO-UHFFFAOYSA-N	1S/C7H6O4/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,8-9H,(H,10,11)	OC(=O)C1=CC(O)=CC=C1O	Gentisic acid
HMDB02035	C9H8O3	164.0473441	NGSWKAQJJWESNS-ZZXKWVIFSA-N	1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+	OC(=O)\C=C\C1=CC=C(O)C=C1	4-Hydroxycinnamic acid
HMDB00318	C8H10O4	170.0579088	MTVWFVDWRVYDOR-UHFFFAOYSA-N	1S/C8H10O4/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-3,8-12H,4H2	OCC(O)C1=CC(O)=C(O)C=C1	3,4-Dihydroxyphenylglycol
HMDB06355	C6H8O6	176.032088	OGLCQHRZUSEXNB-WHDMSYDLSA-N	1S/C6H8O6/c7-1-3-4(12-5(1)9)2(8)6(10)11-3/h1-5,7-9H/t1-,2-,3-,4-,5-/m1/s1	O[C@@H]1O[C@@H]2[C@@H](O)C(=O)O[C@@H]2[C@H]1O	D-Glucurono-6,3-lactone
HMDB01860	C7H8N4O2	180.0647255	QUNWUDVFRNGTCO-UHFFFAOYSA-N	1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)11(2)7(13)9-5/h3H,1-2H3,(H,9,13)	CN1C=NC2=C1C(=O)N(C)C(=O)N2	Paraxanthine
HMDB01325	C9H20N2O2	188.1524779	MXNRLFUSFKVQSK-QMMMGPOBSA-N	1S/C9H20N2O2/c1-11(2,3)7-5-4-6-8(10)9(12)13/h8H,4-7,10H2,1-3H3/t8-/m0/s1	C[N+](C)(C)CCCC[C@H](N)C([O-])=O	N6,N6,N6-Trimethyl-L-lysine
HMDB32306	C9H14O5	202.0841236	OQOCQBJWOCRPQY-UHFFFAOYNA-N	1/C9H14O5/c1-4-13-8(11)6(3)7(10)9(12)14-5-2/h6H,4-5H2,1-3H3	CCOC(=O)C(C)C(=O)C(=O)OCC	4-Heptenal diethyl acetal
HMDB00210	C9H17NO5	219.1106727	GHOKWGTUZJEAQD-UHFFFAOYSA-N	1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)	CC(C)(CO)C(O)C(=O)NCCC(O)=O	Pantothenic acid
HMDB00030	C10H16N2O3S	244.0881631	YBJHBAHKTGYVGT-ZKWXMUAHSA-N	1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/t6-,7-,9-/m0/s1	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2	Biotin
HMDB00575	C8H16N2O4S2	268.0551484	ZTVZLYBCZNMWCF-UHFFFAOYSA-N	1S/C8H16N2O4S2/c9-5(7(11)12)1-3-15-16-4-2-6(10)8(13)14/h5-6H,1-4,9-10H2,(H,11,12)(H,13,14)	NC(CCSSCCC(N)C(O)=O)C(O)=O	DL-Homocystine
HMDB01202	C9H14N3O7P	307.0569363	NCMVOABPESMRCP-SHYZEUOFSA-N	1S/C9H14N3O7P/c10-7-1-2-12(9(14)11-7)8-3-5(13)6(19-8)4-18-20(15,16)17/h1-2,5-6,8,13H,3-4H2,(H2,10,11,14)(H2,15,16,17)/t5-,6+,8+/m0/s1	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1	dCMP
HMDB00055	C12H22O11	342.1162115	GUBGYTABKSRVRQ-QRZGKKJRSA-N	1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11-,12+/m1/s1	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	Cellobiose
HMDB00961	C15H28O7P2	382.1310263	VWFJDQUYCIWHTN-YFVJMOTDSA-N	1S/C15H28O7P2/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-21-24(19,20)22-23(16,17)18/h7,9,11H,5-6,8,10,12H2,1-4H3,(H,19,20)(H2,16,17,18)/b14-9+,15-11+	CC(C)=CCC\C(C)=C\CC\C(C)=C\COP(O)(=O)OP(O)(O)=O	Farnesyl pyrophosphate
HMDB01341	C10H15N5O10P2	427.0294147	XTWYTFMLZFPYCI-KQYNXXCUSA-N	1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	ADP
HMDB00538	C10H16N5O13P3	506.9957452	ZKHQWZAMYRWXGA-KQYNXXCUSA-N	1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	Adenosine triphosphate
HMDB00304	C17H27N3O17P2	607.0815695	LFTYTUAZOPRMMI-UHFFFAOYSA-N	1S/C17H27N3O17P2/c1-6(22)18-10-13(26)11(24)7(4-21)35-16(10)36-39(31,32)37-38(29,30)33-5-8-12(25)14(27)15(34-8)20-3-2-9(23)19-17(20)28/h2-3,7-8,10-16,21,24-27H,4-5H2,1H3,(H,18,22)(H,29,30)(H,31,32)(H,19,23,28)	CC(=O)NC1C(O)C(O)C(CO)OC1OP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1O)N1C=CC(=O)NC1=O	Uridine diphosphate-N-acetylgalactosamine
HMDB06478	C5H10O	86.07316494	YGHRJJRRZDOVPD-UHFFFAOYSA-N	1S/C5H10O/c1-5(2)3-4-6/h4-5H,3H2,1-2H3	CC(C)CC=O	Iso-Valeraldehyde
HMDB00005	C4H6O3	102.0316941	TYEYBOSBBBHJIV-UHFFFAOYSA-N	1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)	CCC(=O)C(O)=O	2-Ketobutyric acid
HMDB00965	C2H7NO2S	109.0197492	VVIUBCNYACGLLV-UHFFFAOYSA-N	1S/C2H7NO2S/c3-1-2-6(4)5/h1-3H2,(H,4,5)	NCCS(O)=O	Hypotaurine
HMDB00883	C5H11NO2	117.0789786	KZSNJWFQEVHDMF-BYPYZUCNSA-N	1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1	CC(C)[C@H](N)C(O)=O	L-Valine
HMDB02243	C6H5NO2	123.0320284	SIOXPEMLGUPBBT-UHFFFAOYSA-N	1S/C6H5NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H,(H,8,9)	OC(=O)C1=CC=CC=N1	Picolinic acid
HMDB59876	C6H10O3	130.0629942	SERHXTVXHNVDKA-UHFFFAOYSA-N	1S/C6H10O3/c1-6(2)3-9-5(8)4(6)7/h4,7H,3H2,1-2H3	CC1(C)COC(=O)C1O	Pantolactone
HMDB00191	C4H7NO4	133.0375077	CKLJMWTZIZZHCS-REOHCLBHSA-N	1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1	N[C@@H](CC(O)=O)C(O)=O	L-Aspartic acid
HMDB03431	C6H11N3O	141.090212	ZQISRDCJNBUVMM-YFKPBYRVSA-N	1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)/t5-/m0/s1	N[C@H](CO)CC1=CN=CN1	L-Histidinol
